Distance from fort,count_schools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,count_medical_centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,min_dist_school,min_dist_medical_center,Price per Perch
21.89,1,1,1.73280012,3.138944863,3.532694318,0.137331208,4,0,0.166226784,3,1.761886269,1,4.511211539,3.290576454,"495,000.00"
13.07,3,1,0.863181347,9.317309022,1.958732342,0.893361754,19,1,0.19376073,17,0.046474146,2,2.271181203,2.501293913,"2,700,000.00"
18.99,5,1,1.866050156,1.810057975,0.314617717,0.069482791,9,1,0.265588994,5,0.215824615,5,2.560275109,1.767980392,"975,000.00"
18.99,5,1,1.866050156,1.810057975,0.314617717,0.069482791,9,1,0.265588994,5,0.215824615,5,2.560275109,1.767980392,"2,000,000.00"
17.05,1,0,3.288533063,7.422553915,3.42874365,0.209031029,5,2,0.224225553,7,0.102080252,2,4.183153917,1.893212984,"1,450,000.00"
17.56,8,0,2.815468682,3.958057755,1.004244922,0.903396438,10,1,0.826950604,7,0.904980795,3,2.272672511,2.088733809,"1,250,000.00"
17.56,8,0,2.815468682,3.958057755,1.004244922,0.903396438,10,1,0.826950604,7,0.904980795,3,2.272672511,2.088733809,"1,250,000.00"
17.05,1,0,3.288533063,7.422553915,3.42874365,0.209031029,5,2,0.224225553,7,0.102080252,2,4.183153917,1.893212984,"1,450,000.00"
6.23,24,1,1.968711266,2.401511963,0.536960132,0.22982904,28,7,0.52250527,7,0.457804718,7,1.477911091,1.688037499,"6,857,142.86"
21.21,3,0,4.001993712,5.27731528,5.682614182,1.481078738,5,0,1.358658138,7,1.820113651,1,5.62599196,3.178849578,"870,000.00"
8.43,25,5,0.68379499,8.270892022,1.393859989,0.06226201,43,10,0.220060054,23,0.776471572,5,0.656539523,1.209048532,"6,000,000.00"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"955,500.00"
10.57,11,2,0.574608738,9.365425049,0.380556553,0.053768922,31,3,0.253841443,24,0.139402968,4,0.500748682,1.59651451,"3,600,000.00"
10.56,10,2,0.1918214,9.666038251,0.888089233,0.089743676,25,3,0.100129552,24,0.129686103,4,0.634317711,1.338208605,"2,850,000.00"
14.14,4,0,2.709960494,3.827825191,5.361563944,1.394740848,15,0,0.241100286,10,1.336383484,2,3.58745219,2.674381232,"1,700,000.00"
18.85,3,0,2.75753304,6.672114016,5.148238391,0.144675834,8,2,0.49262073,12,0.048597652,2,4.401620213,1.4674653,"905,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"450,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"625,000.00"
32.72,0,0,5.980388514,15.53202167,1.009932711,1.089855937,1,0,3.205859997,0,3.378773687,0,12.39189835,10.00080272,"115,000.00"
10.57,11,2,0.574608738,9.365425049,0.380556553,0.053768922,31,3,0.253841443,24,0.139402968,4,0.500748682,1.59651451,"2,350,000.00"
24.82,1,0,5.090707489,0.409507119,6.811585774,0.031648336,2,1,3.055274365,0,5.118456884,0,7.133131449,4.812728716,"435,000.00"
22.59,1,0,4.731446487,5.842113383,5.025225136,3.189759435,0,0,3.053364406,0,3.525063347,0,5.736706006,4.444261549,"900,000.00"
23.58,1,0,5.624547142,5.967403991,4.903064599,3.727986178,0,0,3.876316055,0,4.524115554,0,6.387940748,5.182483005,"760,000.00"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"861,538.46"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"871,212.12"
10.57,11,2,0.574608738,9.365425049,0.380556553,0.053768922,31,3,0.253841443,24,0.139402968,4,0.500748682,1.59651451,"2,600,000.00"
17.66,2,0,2.766675534,1.341754436,9.982145833,0.351838973,8,1,0.22296895,5,0.044349224,1,6.270127131,4.493856946,"450,000.00"
14.94,4,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0,0.297162444,10,0.3277186,2,3.835218788,3.420543751,"1,850,000.00"
